0 0 0 -nan inf inf -nan -nan 0 0
0.56 0.294109 0.0739192 15.4669 13.6844 10.1759 2.98571e-06 -1.7886e-06 0.0831063 1.08249
0.57 0.299466 0.0747966 15.2072 13.4216 9.93961 3.06912e-06 -1.83852e-06 0.0845609 1.08889
0.58 0.304827 0.0756689 14.9565 13.1679 9.71182 3.15309e-06 -1.88879e-06 0.0860146 1.09523
0.59 0.31019 0.0765362 14.7142 12.923 9.49213 3.23763e-06 -1.93939e-06 0.0874676 1.10148
0.6 0.315556 0.0773986 14.4798 12.6864 9.28012 3.3227e-06 -1.99031e-06 0.0889197 1.10767
0.61 0.320926 0.0782562 14.2531 12.4577 9.07542 3.40831e-06 -2.04154e-06 0.0903711 1.11379
0.62 0.326298 0.0791091 14.0336 12.2364 8.87765 3.49442e-06 -2.09308e-06 0.0918216 1.11985
0.63 0.331673 0.0799575 13.8209 12.0224 8.68649 3.58104e-06 -2.14492e-06 0.0932714 1.12583
0.64 0.337052 0.0808014 13.6149 11.8151 8.50162 3.66815e-06 -2.19705e-06 0.0947203 1.13176
0.65 0.342433 0.0816409 13.4151 11.6143 8.32273 3.75573e-06 -2.24947e-06 0.0961685 1.13762
0.66 0.347817 0.0824761 13.2213 11.4197 8.14956 3.84378e-06 -2.30216e-06 0.0976159 1.14343
0.67 0.353203 0.0833071 13.0332 11.231 7.98184 3.93228e-06 -2.35512e-06 0.0990626 1.14917
0.68 0.358593 0.084134 12.8506 11.0479 7.81932 4.02122e-06 -2.40834e-06 0.100508 1.15486
0.69 0.363986 0.0849568 12.6733 10.8703 7.66178 4.11058e-06 -2.46182e-06 0.101954 1.1605
0.7 0.369381 0.0857757 12.5009 10.6978 7.50899 4.20037e-06 -2.51554e-06 0.103398 1.16608
0.71 0.374779 0.0865906 12.3333 10.5303 7.36075 4.29056e-06 -2.56951e-06 0.104842 1.1716
0.72 0.38018 0.0874018 12.1703 10.3675 7.21687 4.38116e-06 -2.62371e-06 0.106284 1.17708
0.73 0.385584 0.0882092 12.0118 10.2093 7.07716 4.47214e-06 -2.67815e-06 0.107726 1.1825
0.74 0.39099 0.089013 11.8574 10.0554 6.94145 4.56349e-06 -2.73281e-06 0.109168 1.18788
0.75 0.396399 0.0898131 11.7072 9.90567 6.80958 4.65522e-06 -2.78769e-06 0.110608 1.1932
0.76 0.401811 0.0906097 11.5608 9.75998 6.68138 4.7473e-06 -2.84278e-06 0.112048 1.19848
0.77 0.407226 0.0914027 11.4182 9.61815 6.55672 4.83974e-06 -2.89808e-06 0.113488 1.20372
0.78 0.412643 0.0921924 11.2792 9.48003 6.43545 4.93252e-06 -2.95358e-06 0.114926 1.20891
0.79 0.418064 0.0929787 11.1437 9.34548 6.31745 5.02563e-06 -3.00928e-06 0.116364 1.21405
0.8 0.423486 0.0937617 11.0115 9.21435 6.20258 5.11906e-06 -3.06518e-06 0.117801 1.21915
0.81 0.428912 0.0945414 10.8825 9.08653 6.09073 5.21281e-06 -3.12126e-06 0.119237 1.22421
0.82 0.43434 0.0953179 10.7566 8.96189 5.98178 5.30688e-06 -3.17753e-06 0.120673 1.22923
0.83 0.439771 0.0960913 10.6338 8.84032 5.87563 5.40124e-06 -3.23397e-06 0.122108 1.2342
0.84 0.445204 0.0968616 10.5138 8.7217 5.77217 5.4959e-06 -3.29059e-06 0.123542 1.23914
0.85 0.45064 0.0976288 10.3966 8.60593 5.67131 5.59085e-06 -3.34739e-06 0.124976 1.24404
0.86 0.456079 0.098393 10.2821 8.49291 5.57296 5.68608e-06 -3.40434e-06 0.126408 1.2489
0.87 0.46152 0.0991543 10.1702 8.38255 5.47701 5.78158e-06 -3.46147e-06 0.127841 1.25372
