0 0 0
0.5 -10.2404 0.0765
1 -16.1161 0.153
1.5 -9.09953 0.2295
2 1.15729 0.306
2.5 12.7146 0.3825
3 24.9258 0.459
3.5 37.5148 0.5355
4 50.3449 0.612
4.5 63.3419 0.6885
5 76.4635 0.765
5.5 89.6856 0.8415
6 102.996 0.918
6.5 116.392 0.9945
7 129.879 1.071
7.5 143.476 1.1475
8 157.22 1.224
8.5 171.182 1.3005
9 185.514 1.377
9.5 200.58 1.4535
10 217.515 1.53
